#	TaxonID	TaxonRank	ScientificName	Author	VernacularFI	AlternativeFI	VernacularEN	AlternativeEN
	MX.5016660	heimo	Leuciscidae	Bonaparte, 1835	särjet		Minnows
32		lahko	Characiformes		tetrakalat		Characins and allies
		heimo	Citharinidae	Günther, 1864	linjatetrat		Lutefishes
		heimo	Distichodontidae	Günther, 1864	herttatetrat		Distichodontids
		heimo	Crenuchidae	Günther, 1864	purjetetrat		South American darters
		heimo	Alestidae	Cockerell, 1910	alestit		African tetras
		heimo	Hepsetidae	Hubbs, 1939	haukitetrat		African pikes
		heimo	Tarumaniidae	de Pinna et al., 2017	ankeriastetrat		muckfishes
		heimo	Erythrinidae	Valenciennes, 1847	rosvotetrat		Trahiras
		heimo 	Parodontidae	Eigenmann, 1910	levätetrat		darter tetras
		heimo	Cynodontidae	Eigenmann, 1903	sapelihammastetrat		sabertoothed tetras
		heimo	Serrasalmidae	Bleeker, 1859	piraijat		Piranhas
		heimo	Hemiodontidae	Bleeker, 1859	keilatetrat		Halftooths
		heimo	Anostomidae	Günther, 1864	seisojatetrat		toothed headstanders
		heimo	Chilodontidae	Eigenmann, 1903	huulihammastetrat		Headstanders
		heimo	Curimatidae	Gill, 1858	barbitetrat		Toothless characins
		heimo	Prochilodontidae	Eigenmann, 1909	huulitetrat		bocachicos
		heimo	Lebiasinidae	Gill, 1889	sukkulatetrat		Pencilfishes
		heimo	Ctenoluciidae	Schultz, 1944	amerikanhaukitetrat		Pike-characids
		heimo	Chalceidae	Fowler, 1958	suomutetrat		tucanfishes
		heimo	Triportheidae	Fowler, 1940	siipitetrat		hatchet characins
		heimo	Gasteropelecidae	Bleeker, 1859	tapparakalat		freshwater hatchetfishes
		heimo	Bryconidae	Eigenmann, 1912	hohdetetrat		bryconids
		heimo	Iguanodectidae	Eigenmann, 1909	melttitetrat		iguanodectids
		heimo	Acestrorhynchidae	Eigenmann, 1912	vaanijatetrat		pike characins
		heimo	Characidae	Latreille, 1825	tetrat		Characins
33		lahko	Gymnotiformes		veitsikalat		
		heimo	Apteronotidae	Jordan, 1923	pyrstöveitsikalat		Ghost knifefishes
		heimo	Sternopygidae	Cope, 1871	lasiveitsikalat		Glass knifefishes
		heimo	Gymnotidae	Rafinesque, 1815	veitsikalat		Naked-back knifefishes
		heimo	Hypopomidae	Eigenmann, 1912	puikkoveitsikalat		Bluntnose knifefishes
		heimo	Rhamphichthyidae	Regan, 1911	nokkaveitsikalat		Sand knifefishes
34	MX.53175	lahko	Siluriformes		monnikalat		Catfishes
		alalahko	Loricaroidei		imumonnikalat		
		heimo	Nematogenyidae	Bleeker, 1862	puikkomonnit		Mountain catfishes
