TaxonID	#	rank	taxon	author	vernacularFI	obsoleteFI
			Sphyrna gilberti 	Quattro, Driggers, Grady, Ulrich & Roberts, 2013 	harmaavasarahai			
MX.5087717			Sphyrna lewini 	(Griffith & Smith, 1834) 	kampavasarahai			
			Sphyrna media 	(Springer, 1940) 	lapiohai			
MX.5087719			Sphyrna mokarran 	(Rüppell, 1837) 	isovasarahai			
			Sphyrna tiburo 	(Linnaeus, 1758) 	nuijahai			
MX.5087721			Sphyrna tudes 	(Valenciennes, 1822) 	ruskovasarahai			
MX.5087723			Sphyrna zygaena 	(Linnaeus, 1758)	vasarahai			
MX.53322		lahko	Squaliformes		piikkihaikalat			
MX.5086321		heimo	Dalatiidae		leijahait 	valohait		
MX.5087724		suku	Dalatias	Rafinesque, 1810				
MX.5087725			Dalatias licha	(Bonnaterre, 1788)	leijahai			
		suku	Euprotomicroides	Hulley & Penrith, 1966				
			Euprotomicroides zantedeschia	Hulley & Penrith, 1966	lyhtypyrstöhai			
		suku	Euprotomicrus	Gill, 1865				
			Euprotomicrus bispinatus	(Quoy & Gaimard, 1824)	kääpiöhai			
MX.5087726		suku	Isistius	Gill, 1865				
MX.5087727			Isistius brasiliensis 	Quoy & Gaimard, 1824 	leikkurihai			
MX.5087729			Isistius plutodus 	Garrick & Springer, 1964	pikkuleikkurihai			
		suku	Mollisquama	Dolganov, 1984				
			Mollisquama mississippiensis 	Grace, Doosey, Denton, Naylor, Bart & Maisey, 2019	meksikontaskuhai			
			Mollisquama parini	Dolganov, 1984	taskuhai			
MX.5087730		suku	Squaliolus	Smith & Radcliffe, 1912				
			Squaliolus aliae 	Teng, 1959 	tihrulyhtyhai			
MX.5087731			Squaliolus laticaudus 	Smith & Radcliffe, 1912	lyhtyhai			
MX.5086322		heimo	Etmopteridae		valohait			
		suku	Aculeola	de Buen, 1959				
			Aculeola nigra	de Buen, 1959	koukkuhammashai			
MX.5087732		suku	Centroscyllium	Müller & Henle, 1841				
MX.5087733			Centroscyllium fabricii 	Reinhardt, 1825 	tummavalohai			
			Centroscyllium granulatum	Günther, 1887 	nystyvalohai			
			Centroscyllium ornatum 	Alcock, 1889 	koruvalohai			
MX.5087734		suku	Etmopterus	Rafinesque, 1810				
			Etmopterus lucifer 	Jordan & Snyder, 1902 	valohai			
			Etmopterus perryi 	Springer & Burgess, 1985 	kääpiövalohai			
MX.5087735			Etmopterus princeps 	Collett, 1904  	isovalohai			
MX.5087737			Etmopterus pusillus 	(Lowe, 1839)	pehmovalohai			
MX.5087739			Etmopterus spinax 	(Linnaeus, 1758) 	samettivalohai			
		suku	Trigonognathus	Mochizuki & Ohe, 1990				
			Trigonognathus kabeyai	Mochizuki & Ohe, 1990	naskalivalohai			
MX.5086323		heimo	Somniosidae		holkerit			
MX.5087740		suku	Centroscymnus	Barbosa du Bocage & de Brito Capello, 1864				
MX.5087741			Centroscymnus coelolepis 	Barbosa du Bocage & Brito Capello, 1864 	ruskosusihai			
