TaxonID	#	rank	taxon	author	vernacularFI	obsoleteFI
MX.5107036			Xenotilapia burtoni 	Poll, 1951	täplähiekkahautoja			
MX.5107037			Xenotilapia caudafasciata 	Poll, 1951	raitaevähiekkahautoja			
MX.5107038			Xenotilapia flavipinnis 	Poll, 1985	kultahiekkahautoja			
MX.5107039			Xenotilapia longispinis 	Poll, 1951	piikkihiekkahautoja			
MX.5107040			Xenotilapia nasus 	De Vos, Risch & Thys van den Audenaerde, 1995	kuonohiekkahautoja			
MX.5107041			Xenotilapia nigrolabiata 	Poll, 1951	mustahuulihiekkahautoja			
MX.5107042			Xenotilapia ochrogenys 	(Boulenger, 1914)	hohtohiekkahautoja			
MX.5107043			Xenotilapia ornatipinnis 	Boulenger, 1901	hohtojuovahiekkahautoja			
MX.5107044			Xenotilapia papilio 	Büscher, 1990	perhoshiekkahautoja			
MX.5107045			Xenotilapia sima 	Boulenger, 1899	välkehiekkahautoja			
MX.5107046			Xenotilapia singularis	(Boulenger, 1914)	laikkuhiekkahautoja			
MX.5107047			Xenotilapia spilopterus 	Poll & Stewart, 1975	pilkkuhiekkahautoja			
MX.5107048		tribe	Eretmodini					
MX.5107049		suku	Eretmodus	Boulenger, 1898	turpa-ahvenet			
MX.5107050			Eretmodus cyanostictus 	Boulenger, 1898	seepraturpa-ahven			
MX.5107051			Eretmodus marksmithi 	Burgess, 2012	viiruturpa-ahven			
MX.5107052		suku	Spathodus	Boulenger, 1900	turpa-ahvenet			
MX.5107053			Spathodus erythrodon 	Boulenger, 1900	pilkkuturpa-ahven			
MX.5107054			Spathodus marlieri 	Poll, 1950	kyhmyturpa-ahven			
MX.5107055		suku	Tanganicodus	Poll, 1950	turpa-ahvenet			
MX.5107056			Tanganicodus irsacae	Poll, 1950	raitaturpa-ahven			
MX.5107057		tribe	Tropheini					
MX.5107058		suku	Interochromis	Yamaoka, Hori & Kuwamura, 1998				
MX.5107059			Interochromis loocki	(Poll, 1949)	ruosteotsahautoja			
MX.5107060		suku	Limnotilapia	Regan, 1920				
MX.5107061			Limnotilapia dardennii	(Boulenger, 1899)	keltavatsahautoja			
MX.5107062		suku	Lobochilotes	Boulenger, 1915				
MX.5107063			Lobochilotes labiatus	(Boulenger, 1898)	seeprahuuliahven			
MX.5107064		suku	Petrochromis	Boulenger, 1898	kivikkohautojat			
MX.5107065			Petrochromis ephippium 	Brichard, 1989	satulakivikkohautoja			
MX.5107066			Petrochromis famula 	Matthes & Trewavas, 1960	ruskokivikkohautoja			
MX.5107067			Petrochromis fasciolatus 	Boulenger, 1914	raitakivikkohautoja			
MX.5107068			Petrochromis horii 	Takahashi & Koblmüller, 2014	keltakivikkohautoja			
MX.5107069			Petrochromis macrognathus 	Yamaoka, 1983	huulikivikkohautoja			
MX.5107070			Petrochromis orthognathus 	Matthes, 1959	ruostekivikkohautoja			
MX.5107071			Petrochromis polyodon 	Boulenger,, 1898	häijykivikkohautoja			
MX.5107072			Petrochromis trewavasae 	Poll, 1948	tähtikivikkohautoja			
MX.5107073		suku	Pseudosimochromis	Nelissen, 1977				
MX.5107074			Pseudosimochromis babaulti 	(Pellegrin, 1927)	raitalevähautoja			
MX.5107075			Pseudosimochromis curvifrons 	(Poll, 1942)	juhmurilevähautoja	juhmurisuomunsyöjä		
MX.5107076			Pseudosimochromis margaretae 	(Axelrod & Harrison, 1978)	saumalevähautoja			
MX.5107077			Pseudosimochromis marginatus	(Poll, 1956)	harmaalevähautoja			
MX.5107078		suku	Simochromis	Boulenger, 1898				
MX.5107079			Simochromis diagramma 	(Günther, 1894)	kalterilevähautoja			
MX.5107080		suku	Tropheus	Boulenger, 1898	keisarit			
MX.5107081			Tropheus annectens 	Boulenger, 1900	viirikeisari			
MX.5107082			Tropheus brichardi 	Nelissen & Thys van den Audenaerde, 1975	seeprakeisari			
MX.5107083			Tropheus duboisi 	Marlier, 1959	vyökeisari			
MX.5107084			Tropheus moorii	Boulenger, 1898	keisarikirjoahven			
MX.5107085		tribe	Lamprologini					
MX.5107086		suku	Altolamprologus	Poll, 1986	kuonoahvenet			
MX.5107087			Altolamprologus calvus 	(Poll, 1978)	helmikuonoahven			
MX.5107088			Altolamprologus compressiceps 	(Boulenger, 1898)	kuonoahven			
MX.5107089			Altolamprologus fasciatus 	Boulenger, 1898	raitakuonoahven			
MX.5107090		suku	Chalinochromis	Poll, 1974	ohjasahvenet			
MX.5107091			Chalinochromis brichardi 	Poll, 1974	ohjasahven			
MX.5107092			Chalinochromis cyanophleps 	Kullander, Karlsson, Karlsson & Norén, 2014	siniohjasahven			
MX.5107093			Chalinochromis popelini 	Brichard, 1989	juovaohjasahven			
MX.5107094		suku	Julidochromis	Boulenger, 1898	koruahvenet			
MX.5107095			Julidochromis dickfeldi 	Staeck, 1975	sinikoruahven			
MX.5107096			Julidochromis marksmithi 	Burgess, 2014	linjakoruahven			
MX.5107097			Julidochromis marlieri 	Poll, 1956	ruutukoruahven			
MX.5107098			Julidochromis ornatus 	Boulenger, 1898	kultakoruahven			
MX.5107099			Julidochromis regani 	Poll, 1942	juovakoruahven			
MX.5107100			Julidochromis transcriptus 	Matthes, 1959	täpläkoruahven			
MX.5107101		suku	Lamprologus	Schilthuis, 1891	kotiloahvenet			
MX.5107102			Lamprologus callipterus 	Boulenger, 1906 	haaremikotiloahven			
MX.5107103			Lamprologus kungweensis 	Poll, 1956	täpläkotiloahven			
MX.5107104			Lamprologus lemairii 	Boulenger, 1899	petokotiloahven			
MX.5107105			Lamprologus ocellatus 	(Steindachner, 1909)	keltakotiloahven			
MX.5107106			Lamprologus ornatipinnis 	Poll, 1949	korukotiloahven			
MX.5107107			Lamprologus signatus 	Poll, 1952	kultavatsakotiloahven			
MX.5107108			Lamprologus speciosus 	Büscher, 1991	raitakotiloahven			
MX.5107109			Lamprologus stappersi 	Pellegrin, 1927	helmiäiskotiloahven			
MX.5107110			Lamprologus congoensis 	Schilthuis, 1891	keltakoskiahven			
MX.5107111			Lamprologus lethops 	Roberts & Stewart, 1976	sokkokoskiahven			
MX.5107112			Lamprologus markerti 	Tougas & Stiassny, 2014	kyhmykoskiahven			
MX.5107113			Lamprologus mocquardi 	Pellegrin, 1903	ruskokoskiahven			
MX.5107114			Lamprologus symoensi 	Poll, 1976	yläkoskiahven			
MX.5107115			Lamprologus teugelsi 	Schelly & Stiassny, 2004	tummakoskiahven			
MX.5107116			Lamprologus tigripictilis 	Schelly & Stiassny, 2004	tiikerikoskiahven			
MX.5107117			Lamprologus tumbanus	Boulenger, 1899	harmaakoskiahven			
MX.5107118			Lamprologus werneri 	Poll, 1959	sinikoskiahven			
MX.5107119		suku	Lepidiolamprologus	Pellegrin, 1904				
MX.5107120			Lepidiolamprologus attenuatus 	(Steindachner, 1909)	laikkuluola-ahven			
MX.5107121			Lepidiolamprologus boulengeri	(Steindachner, 1909)	kiilakotiloahven			
MX.5107122			Lepidiolamprologus cunningtoni 	(Boulenger, 1906)	tähtiluola-ahven			
MX.5107123			Lepidiolamprologus elongatus	(Boulenger, 1898)	hoikkaluola-ahven			
MX.5107124			Lepidolamprologus hecqui	(Boulenger, 1898)	laikkukotiloahven			
MX.5107125			Lepidiolamprologus kamambae 	Kullander, Karlsson & Karlsson, 2012	ruutuluola-ahven			
MX.5107126			Lepidiolamprologus kendalli 	(Poll & Stewart, 1977)	valkotäpläluola-ahven			
MX.5107127			Lepidolamprologus meeli	(Poll, 1948)	ruutukotiloahven			
MX.5107128			Lepidiolamprologus mimicus 	Schelly, Takahashi, Bills & Hori, 2007	täpläluola-ahven			
MX.5107129			Lepidiolamprologus nkambae	(Staeck, 1978	sahaluola-ahven			
MX.5107130			Lepidiolamprologus pleuromaculatus	(Trewavas & Polli, 1952)	isokotiloahven			
MX.5107131			Lepidiolamprologus profundicola	(Poll, 1949)	ruskoluola-ahven			
MX.5107132			Lepidiolamprologus variostigma 	(Büscher, 1995)	kirjoluola-ahven			
MX.5107133		suku	Neolamprologus	Colombé & Allgayer, 1985				
MX.5107134			Neolamprologus bifasciatus 	Büscher, 1993	kaksijuovaluola-ahven			
MX.5107135			Neolamprologus brevis 	Boulenger, 1899	lyhytkotiloahven			
MX.5107136			Neolamprologus brichardi 	Poll, 1974	viirikirjoahven			
MX.5107137			Neolamprologus buescheri 	Staeck, 1983	laikkuviiriahven			
MX.5107138			Neolamprologus cancellatus 	Aibara, Takahashi & Nakaya, 2005	ritiläkotiloahven			
MX.5107139			Neolamprologus caudopunctatus 	Poll, 1978	keltaeväkotiloahven			
MX.5107140			Neolamprologus chitamwebwai 	Verburg & Bills, 2007	verkkoviiriahven			
MX.5107141			Neolamprologus laparogramma 	Bills & Ribbink, 1997	raitavatsakotiloahven			
MX.5107142			Neolamprologus christyi 	Trewavas & Poll, 1952	tummaviiriahven			
MX.5107143			Neolamprologus crassus 	Brichard, 1989	saumaviiriahven			
MX.5107144			Neolamprologus cylindricus 	Staeck & Seegers, 1986	seepraluola-ahven			
MX.5107145			Neolamprologus falcicula 	Brichard, 1989	ruskoviiriahven			
MX.5107146		                      	Neolamprologus furcifer 	Boulenger, 1898	lyyraluola-ahven			
MX.5107147			Neolamprologus gracilis 	Brichard, 1989	siroviiriahven			
MX.5107148			Neolamprologus helianthus 	Büscher, 1997	aurinkoviiriahven			
MX.5107149			Neolamprologus leleupi 	Poll, 1956	aurinkokirjoahven			
MX.5107150			Neolamprologus leloupi 	Poll, 1948	timanttiluola-ahven			
MX.5107151			Neolamprologus longicaudatus 	Nakaya & Gashagaza, 1995	kyhmyluola-ahven			
MX.5107152			Neolamprologus longior 	Staeck, 1980	heloviiriahven	helokirjoahven		
MX.5107153			Neolamprologus marunguensis 	Büscher, 1989	sinisilmäviiriahven			
MX.5107154			Neolamprologus modestus 	Boulenger, 1898	seepialuola-ahven			
MX.5107155			Neolamprologus mondabu 	Boulenger, 1906	vihereväluola-ahven			
MX.5107156			Neolamprologus multifasciatus 	Boulenger, 1906	seeprakotiloahven			
MX.5107157			Neolamprologus mustax 	Poll, 1978	mustaluola-ahven			
MX.5107158			Neolamprologus niger 	Poll, 1956	mahonkiluola-ahven			
MX.5107159			Neolamprologus nigriventris 	Büscher, 1992	mustavatsaviiriahven			
MX.5107160			Neolamprologus obscurus 	Poll, 1978	raitaluola-ahven			
MX.5107161			Neolamprologus olivaceous 	Brichard, 1989	oliiviviiriahven			
MX.5107162			Neolamprologus pectoralis 	Büscher, 1991	melaluola-ahven			
MX.5107163			Neolamprologus petricola 	Poll, 1949	kivikkoluola-ahven			
MX.5107164			Neolamprologus prochilus 	Bailey & Stewart, 1977	leukaluola-ahven			
MX.5107165			Neolamprologus pulcher 	Trewavas & Poll, 1952	kaunoviiriahven			
MX.5107166			Neolamprologus savoryi 	Poll, 1949	raitaviiriahven			
MX.5107167			Neolamprologus schreyeni 	Poll, 1974	sysiluola-ahven			
MX.5107168			Neolamprologus sexfasciatus 	Trewavas & Poll, 1952	kalteriluola-ahven			
MX.5107169			Neolamprologus similis 	Büscher, 1992	valekotiloahven			
MX.5107170			Neolamprologus splendens 	Brichard, 1989	loistoviiriahven			
MX.5107171			Neolamprologus tetracanthus 	Boulenger, 1899	piikkiluola-ahven			
MX.5107172			Neolamprologus timidus 	Kullander, Norén, Karlsson & Karlsson, 2014	ujoluola-ahven			
MX.5107173			Neolamprologus toae 	(Poll, 1949)	pöllöluola-ahven			
MX.5107174			Neolamprologus tretocephalus 	Boulenger, 1899	siniseepra-ahven			
MX.5107175			Neolamprologus variostigma 	Büscher, 1995	hohtoluola-ahven			
MX.5107176			Neolamprologus ventralis 	Büscher, 1995	rihmaluola-ahven			
MX.5107177			Neolamprologus walteri 	Verburg & Bills, 2007	kuvioviiriahven			
MX.5107178			Neolamprologus wauthioni 	Poll, 1949	helmiluola-ahven			
MX.5107179		suku	Telmatochromis	Boulenger, 1898	valjasahvenet			
MX.5107180			Telmatochromis bifrenatus 	Myers, 1936	parijuovavaljasahven			
MX.5107181			Telmatochromis brachygnathus 	Hanssens & Snoeks, 2003	tylppävaljasahven			
MX.5107182			Telmatochromis brichardi 	Louisy, 1989	sahavaljasahven			
MX.5107183			Telmatochromis dhonti 	(Boulenger, 1919)	mokkavaljasahven			
MX.5107184			Telmatochromis temporalis 	Boulenger, 1898	kanelivaljasahven			
MX.5107185			Telmatochromis vittatus 	Boulenger, 1898	linjavaljasahven			
MX.5107186		suku	Variabilichromis	Colombé & Allgayer, 1985				
MX.5107187			Variabilichromis moorii	(Boulenger, 1898)	tummaluola-ahven			
MX.5107188		tribe	Limnochromini					
MX.5107189		suku	Baileychromis	Poll, 1986				
MX.5107190			Baileychromis centropomoides	Bailey & Stewart, 1977)	piikkikidusahven			
MX.5107191		suku	Gnathochromis	Poll, 1981				
MX.5107192			Gnathochromis permaxillaris	 (David, 1936)	lerppuhuulihautoja			
MX.5107193			Gnathochromis pfefferi 	(Boulenger, 1898)	katkasuuhautoja			
MX.5107194		suku	Greenwoodochromis	Poll, 1983				
MX.5107195			Greenwoodochromis bellcrossi 	(Poll, 1976)	raitasyvännehautoja			
MX.5107196			Greenwoodochromis christyi	(Trewavas, 1953)	välkesyvännehautoja			
MX.5107197		suku	Limnochromis	Regan, 1920	mutahautojat			
MX.5107198			Limnochromis abeelei 	Poll, 1949	isomutahautoja			
MX.5107199			Limnochromis auritus 	Boulenger, 1901	kultamutahautoja			
MX.5107200			Limnochromis staneri 	Poll, 1949	turpamutahautoja			
MX.5107201		suku	Reganochromis	Whitley, 1929				
MX.5107202			Reganochromis calliurus	Boulenger, 1901	hohtomutahautoja			
MX.5107203		suku	Tangachromis	Poll, 1981				
MX.5107204			Tangachromis dhanisi	(Poll, 1949)	planktonhautoja			
MX.5107205		suku	Triglachromis	Poll & Thys van den Audenaerde, 1974				
MX.5107206			Triglachromis otostigma	(Regan, 1920)	ruskomutahautoja			
MX.5107207		tribe	Perissodini					
MX.5107208		suku	Haplotaxodon	Boulenger, 1906				
MX.5107209			Haplotaxodon microlepis 	Boulenger, 1906	petosuuhautoja			
MX.5107210			Haplotaxodon trifasciatus 	Takahashi & Nakaya, 1999	laikkupetohautoja			
MX.5107211		suku	Perissodus	Boulenger, 1898	suomunsyöjät			
MX.5107212			Perissodus eccentricus 	Liem & Stewart, 1976	sinisuomunsyöjä			
MX.5107213			Perissodus microlepis 	Boulenger, 1898	rusosuomunsyöjä			
MX.5107214		suku	Plecodus	Boulenger, 1898	suomunsyöjät			
MX.5107215			Plecodus elaviae 	Poll, 1949	isosuomunsyöjä			
MX.5107216			Plecodus multidentatus 	Poll, 1952	naskalisuomunsyöjä			
MX.5107217			Plecodus paradoxus 	Boulenger, 1898	juovasuomunsyöjä			
MX.5107218			Plecodus straeleni 	Poll, 1948	raitasuomunsyöjä			
MX.5107219		tribe	Trematocarini		karat			
MX.5107220		suku	Trematocara	Boulenger, 1899	karat			
MX.5107221			Trematocara caparti 	Poll, 1948	planktonkara			
MX.5107222			Trematocara kufferathi 	Poll, 1948	ulappakara			
MX.5107223			Trematocara macrostoma 	Poll, 1952	kitakara			
MX.5107224			Trematocara marginatum 	Boulenger, 1899	kiilakara			
MX.5107225			Trematocara nigrifrons 	Boulenger, 1906	syvännekara			
MX.5107226			Trematocara stigmaticum 	Poll, 1943	juovakara			
MX.5107227			Trematocara unimaculatum 	Boulenger, 1901	täpläkara			
MX.5107228			Trematocara variabile 	Poll 1952,	mustasaumakara			
MX.5107229			Trematocara zebra 	De Vos, Nshombo & Thys van den Audenaerde, 1996	seeprakara			
MX.5086708		alaheimo	Etroplinae	Kullander, 1998	intiankirjoahvenet			
MX.5107230		suku	Etroplus	Cuvier, 1830				
MX.5107231			Etroplus canarensis 	Day, 1877	viirukirjoahven			
MX.5107232			Etroplus suratensis 	(Bloch, 1790)	intiankirjoahven			
MX.5107233		suku	Pseudetroplus	Bleeker in Günther, 1862				
MX.5107234			Pseudetroplus maculatus 	(Bloch, 1795)	keltakirjoahven			makea vesi, murtovesi
MX.5107235		suku	Paretroplus	Bleeker, 1868	saariahvenet			
MX.5107236			Paretroplus kieneri 	Arnoult, 1960	nokisaariahven			
MX.5107237			Paretroplus maculatus 	Kiener & Maugé, 1966	vihersaariahven			Madagaskar
MX.5107238			Paretroplus menarambo 	Allgayer, 1996	purppurasaariahven			
MX.5107239			Paretroplus nourissati 	(Allgayer, 1998)	kalterisaariahven			
MX.5107240			Paretroplus polyactis 	Bleeker, 1878	punasaariahven			
MX.5086709		alaheimo	Ptychochrominae	Sparks, 2004	madagaskarinkirjoahvenet			
MX.5107241		suku	Katria	Stiassny & Sparks, 2006	katriat			
MX.5107242			Katria katria	(Reinthal & Stiassny, 1997)	katria			
MX.5107243		suku	Paratilapia	Bleeker, 1868				
MX.5107244			Paratilapia polleni 	Bleeker, 1868	tähtitilapia			
MX.5107245		suku	Ptychochromis	Steindachner, 1880				
MX.5107246			Ptychochromis oligacanthus 	Bleeker, 1868	ruskosaariahven			
MX.53191		lahko	Atheriniformes		hopeakylkikalat			
MX.5086715		heimo	Atherinidae		hopeakyljet			
		alaheimo	Atherinomorinae					
		suku	Alepidomus	Hubbs, 1944				
			Alepidomus evermanni 	Eigenmann, 1903	lasikylki			
MX.5090019		suku	Atherinomorus	Fowler, 1903				
			Atherinomorus endrachtensis 	Quoy & Gaimard, 1825	viiruhopeakylki			
MX.5090020			Atherinomorus lacunosus 	Forster, 1801	viherhopeakylki			
			Atherinomorus stipes 	Müller & Troschel, 1848	karibianhopeakylki			
			Atherinomorus vaigiensis 	Quoy & Gaimard, 1825	suurisilmähopeakylki			
		alaheimo	Atherininae					
MX.5090013		suku	Atherina	Linnaeus, 1758				
MX.5090014			Atherina boyeri 	Risso, 1810	suomuhopeakylki			
			Atherina breviceps 	Valenciennes, 1835	kapinhopeakylki			
MX.5090016			Atherina hepsetus 	Linnaeus, 1758	isohopeakylki			
MX.5090018			Atherina presbyter 	Cuvier, 1829	hopeakylki			
		suku	Atherinosoma	Castelnau, 1872				
			Atherinosoma elongata 	Klunzinger, 1879	sirohopeakylki			
		alaheimo	Craterocephalinae					
		suku	Craterocephalus	McCulloch, 1912				
			Craterocephalus eyresii 	Steindachner, 1883	keltakovapää			
			Craterocephalus kailolae 	Ivantsoff Crowley & Allen, 1987	rubiinikovapää			
			Craterocephalus lacustris 	Trewavas, 1940	pistekovapää			
			Craterocephalus marjoriae 	Whitley, 1948	kuultokovapää			
			Craterocephalus nouhuysi	Weber, 1910	hohtokovapää			
			Craterocephalus stercusmuscarum 	Günther, 1867	rivikovapää			
			Craterocephalus stramineus 	Whitley, 1950	olkikovapää			
MX.5086716		heimo	Bedotiidae		revontulikalat			
		suku	Bedotia	Regan, 1903	revontulikalat			
			Bedotia albomarginata 	Sparks & Rush, 2005	saumarevontulikala			
			Bedotia alveyi 	Johnes Smith & Sparks, 2010	keltarevontulikala			
			Bedotia geayi 	Pellegrin, 1907	juovarevontulikala			
			Bedotia leucopteron 	Loiselle & Rodriguez, 2007	valkorevontulikala			
			Bedotia longianalis 	Pellegrin, 1914	säihkyrevontulikala			
			Bedotia madagascariensis	Regan, 1903	revontulikala			
			Bedotia marojejy 	Stiassny & Harrison, 2000	kultarevontulikala			
			Bedotia masoala 	Sparks, 2001	kirjorevontulikala			
			Bedotia tricolor 	Pellegrin, 1932	palettirevontulikala			
		suku	Rheocles	Jordan & Hubbs, 1919				
			Rheocles alaotrensis	(Pellegrin, 1914)	katrana			
			Rheocles derhami	Stiassny & Rodriguez, 2001				
			Rheocles lateralis	Stiassny & Reinthal, 1992				
			Rheocles pellegrini	(Nichols & LaMonte, 1931)				
			Rheocles sikorae	(Sauvage, 1891)	punaeväkatrana			
			Rheocles vatosoa	Stiassny, Rodriguez & Loiselle, 2002				
			Rheocles wrightae	Stiassny, 1990				
MX.5086717		heimo	Melanotaeniidae		sateenkaarikalat			
		suku	Cairnsichthys	Allen, 1980				
			Cairnsichthys rhombosomoides 	(Nichols & Raven, 1928)	purokirjokala			
		suku	Chilatherina	Regan, 1914				
			Chilatherina alleni 	Price, 1997 	turkoosikirjokala			
			Chilatherina axelrodi 	Allen, 1979 	ruutukirjokala			
			Chilatherina bleheri 	Allen, 1985 	hehkukirjokala			
			Chilatherina bulolo 	(Whitley, 1938) 	pilkkukirjokala			
			Chilatherina campsi 	(Whitley, 1957) 	ylänkökirjokala			
			Chilatherina crassispinosa 	(Weber, 1913) 	hopeakirjokala			
			Chilatherina fasciata 	(Weber, 1913) 	raitakirjokala			
			Chilatherina lorentzii 	(Weber, 1907) 	safiirikirjokala			
			Chilatherina pagwiensis 	Allen & Unmack, 2012	purokirjokala			
			Chilatherina pricei 	Allen & Renyaan, 1996 	lasuurikirjokala			
			Chilatherina sentaniensis 	(Weber, 1907)	okrakirjokala			
		suku	Glossolepis	Weber, 1907				
			Glossolepis dorityi 	Allen, 2001 	tulisateenkaarikala			
			Glossolepis incisus 	Weber, 1907 	purppurasateenkaarikala			
			Glossolepis kabia 	(Herre, 1935) 	turkoosisuomusaateenkaarikala			
			Glossolepis leggetti 	Allen & Renyaan, 1998 	sinihohtosateenkaarikala			
			Glossolepis maculosus 	Allen, 1981 	täpläsateenkaarikala			
			Glossolepis multisquamata 	(Weber & de Beaufort, 1922) 	rusosateenkaarikala			
			Glossolepis pseudoincisus 	Allen & Cross, 1980 	oliivisateenkaarikala			
			Glossolepis ramuensis 	Allen, 1985 	malvasateenkaarikala			
			Glossolepis wanamensis 	Allen & Kailola, 1979	vihersateenkaarikala			
		suku	Iriatherina	Meinken, 1974				
			Iriatherina werneri	Meinken, 1974	viirikirjokala			
		suku	Melanotaenia	Gill, 1862				
			Melanotaenia affinis 	(Weber, 1908) 	kiilasateenkaarikala			
			Melanotaenia ajamaruensis 	Allen & Cross, 1980 	kultakylkisateenkaarikala			
			Melanotaenia albimarginata 	Allen, Hadiaty, Unmack & Erdmann, 2015 	valkopilkkasateenkaarikala			
			Melanotaenia ammeri 	Allen Unmack & Hadiaty, 2008 	kultasuomusateenkaarikala			
			Melanotaenia angfa 	Allen, 1990 	messinkisateenkaarikala			
			Melanotaenia arfakensis 	Allen, 1990 	hohkasateenkaarikala			
			Melanotaenia arguni 	Kadarusman, Hadiaty & Pouyaud, 2012 	ruskosateenkaarikala			
			Melanotaenia aruensis 	Allen, Hadiaty, Unmack & Erdmann, 2015 	arunsateenkaarikala			
			Melanotaenia australis 	(Castelnau, 1875) 	tulisateenkaarikala			
			Melanotaenia batanta 	Allen & Renyaan, 1998 	sinisuomusateenkaarikala			
			Melanotaenia boesemani 	Allen & Cross, 1980 	kultapyrstösateenkaarikala			
			Melanotaenia bowmani 	Allen, Unmack & Hadiaty, 2016 	mustalinjasateenkaarikala			
			Melanotaenia caerulea 	Allen, 1996 	kiiltosateenkaarikala			
			Melanotaenia catherinae 	(de Beaufort, 1910) 	tummasateenkaarikala			
			Melanotaenia corona 	Allen, 1982 	ruskosateenkaarikala			
			Melanotaenia duboulayi 	(Castelnau, 1878) 	saumasateenkaarikala			
			Melanotaenia dumasi 	Weber, 1907 	sinilinjasateenkaarikala			
			Melanotaenia eachamensis 	Allen & Cross, 1982 	palettisateenkaarikala			
			Melanotaenia ericrobertsi 	Allen, Unmack & Hadiaty, 2014 	messinkisateenkaarikala			
			Melanotaenia etnaensis 	Allen, Unmack & Hadiaty, 2016 	mosaiikkisateenkaarikala			
			Melanotaenia exquisita 	Allen, 1978 	sahasateenkaarikala			
			Melanotaenia fasinensis 	Kadarusman, Sudarto, Paradis & Pouyaud, 2010 	hehkusuomusateenkaarikala			
			Melanotaenia flavipinnis 	Allen, Hadiaty & Unmack, 2014 	kultaeväsateenkaarikala			
			Melanotaenia fluviatilis 	(Castelnau, 1878) 	jokisateenkaarikala			
			Melanotaenia fredericki 	(Fowler, 1939) 	pastellisateenkaarikala			
			Melanotaenia garylangei 	Graf, Herder & Hadiaty, 2015 	hehkujuovasateenkaarikala			
			Melanotaenia goldiei 	(Macleay, 1883) 	kultajuovasateenkaarikala			
			Melanotaenia gracilis 	Allen, 1978 	sirosateenkaarikala			
			Melanotaenia grunwaldi 	Allen, Unmack & Hadiaty, 2016 	kultaviivasateenkaarikala			
			Melanotaenia herbertaxelrodi 	Allen, 1980 	kultasateenkaarikala			
			Melanotaenia irianjaya	Allen, 1985 	terässateenkaarikala			
			Melanotaenia iris 	Allen, 1987 	lyhtysateenkaarikala			
			Melanotaenia japenensis 	Allen & Cross, 1980 	oranssisateenkaarikala			
			Melanotaenia kamaka 	Allen & Renyaan, 1996 	turkoosisateenkaarikala			
			Melanotaenia klasioensis 	Kadarusman, Hadiaty & Pouyaud, 2015 	punasateenkaarikala			
			Melanotaenia kokasensis 	Allen, Unmack & Hadiaty, 2008 	sinivatsasateenkaarikala			
			Melanotaenia kolaensis	Allen, Hadiaty, Unmack & Erdmann, 2015 	kobolttisateenkaarikala			
			Melanotaenia lacunosa	Allen, Unmack & Hadiaty, 2016 	järvisateenkaarikala			
			Melanotaenia lacustris 	Munro, 1964 	sinisateenkaarikala			
			Melanotaenia lakamora 	Allen & Renyaan, 1996 	kultaviirusateenkaarikala			
			Melanotaenia laticlavia 	Allen, Unmack & Hadiaty, 2014 	nauhasateenkaarikala			
			Melanotaenia longispina 	Kadarusman, Avarre & Pouyaud, 2015 	utusateenkaarikala			
			Melanotaenia maccullochi 	Ogilby, 1915 	pikkusateenkaarikala			
			Melanotaenia mairasi 	Allen & Hadiaty, 2011 	karstisateenkaarikala			
			Melanotaenia mamahensis 	Allen, Unmack & Hadiaty, 2016 	kobolttijuovasateenkaarikala			
			Melanotaenia manibuii 	Kadarusman, Slembrouck & Pouyaud, 2015 	kiilajuovasateenkaarikala			
			Melanotaenia maylandi 	Allen, 1982 	safiirisateenkaarikala			
			Melanotaenia misoolensis 	Allen, 1982 	kiillesateenkaarikala			
			Melanotaenia monticola 	Allen, 1980 	vuorisateenkaarikala			
			Melanotaenia mubiensis 	Allen, 1996 	purosateenkaarikala			
			Melanotaenia multiradiata 	Allen, Unmack & Hadiaty, 2014 	sädesateenkaarikala			
			Melanotaenia naramasae 	Kadarusman, Nugraha & Pouyaud, 2015 	aurinkosateenkaarikala			
			Melanotaenia nigrans 	(Richardson, 1843) 	mustajuovasateenkaarikala			
			Melanotaenia ogilbyi 	Weber, 1910 	sysisateenkaarikala			
			Melanotaenia oktediensis 	Allen & Cross, 1980 	viirusateenkaarikala			
			Melanotaenia papuae 	Allen, 1981 	linjasateenkaarikala			
			Melanotaenia parkinsoni 	Allen, 1980 	liekkisateenkaarikala	keltasateenkaarikala		
			Melanotaenia parva 	Allen, 1990 	punaeväsateenkaarikala			
			Melanotaenia patoti 	Weber, 1907 	hehkusateenkaarikala			
			Melanotaenia picta 	Allen, Hadiaty, Unmack & Erdmann, 2015 	kaunosateenkaarikala			
			Melanotaenia pierucciae 	Allen & Renyaan, 1996 	pronssisateenkaarikala			
			Melanotaenia pimaensis 	Allen, 1980 	soukkasateenkaarikala			
			Melanotaenia praecox 	(Weber & de Beaufort, 1922) 	neonsateenkaarikala			
			Melanotaenia pygmaea	Allen, 1978 	kääpiösateenkaarikala			
			Melanotaenia rubripinnis 	Allen & Renyaan, 1998 	rubiinisateenkaarikala			
			Melanotaenia rubrivittata 	Allen Unmack & Hadiaty, 2015 	rubiinijuovasateenkaarikala			
			Melanotaenia rubrostriata 	(Ramsay & Ogilby, 1886) 	punajuovasateenkaarikala			
			Melanotaenia rumberponensis 	Kadarusman Ogistira & Pouyaud, 2015 	kultavatsasateenkaarikala			
			Melanotaenia sahulensis 	Hammer, Allen, Martin, Adams & Unmack, 2019 	mustasaumasateenkaarikala			
			Melanotaenia salawati 	Kadarusman, Sudarto, Slembrouck & Pouyaud, 2011 	platinasateenkaarikala			
