TaxonID	rank	taxon	author	vernacularFI	obsoleteFI	informalgroup	
		Biotodoma cupido	(Heckel, 1840)	neitotonkija		MVL.1285	
		Biotodoma wavrini	(Gosse, 1963)	sironeitotonkija		MVL.1285	
		Biotoecus dicentrarchus	Kullander, 1989	kuultoakara		MVL.1285	
		Biotoecus opercularis	(Steindachner, 1875)	perhosakara		MVL.1285	
		Crenicara latruncularium	Kullander & Staeck, 1990	verkkoakara		MVL.1285	
		Crenicara punctulatum	(Günther, 1863)	isoakara		MVL.1285	
	suku	Dicrossus	Steindachner, 1875				
		Dicrossus filamentosus	(Ladiges, 1958)	ruutuakara		MVL.1285	
		Dicrossus foirni 	Römer, Hahn & Vergara, 2010	pastelliakara		MVL.1285	
		Dicrossus gladicauda 	Schindler & Staeck, 2008	miekka-akara		MVL.1285	
		Dicrossus maculatus	Steindachner, 1875	täpläakara		MVL.1285	
	suku	Geophagus	Heckel, 1840				
		Geophagus abalios 	López-Fernández & Taphorn, 2004	orinocontonkija		MVL.1285	
		Geophagus altifrons	Heckel, 1840	viiritonkija		MVL.1285	
		Geophagus argyrostictus	Kullander, 1991	hopeatäplätonkija		MVL.1285	
		Geophagus brachybranchus	Kullander & Nijssen, 1989	mangotonkija		MVL.1285	
		Geophagus brasiliensis	(Quoy & Gaimard, 1824)	helmiäistonkija		MVL.1285	
		Geophagus brokopondo	Kullander & Nijssen, 1989	helmipyrstötonkija		MVL.1285	
		Geophagus camopiensis	Pellegrin, 1903	tinatonkija		MVL.1285	
		Geophagus crassilabris	Steindachner, 1876	huulitonkija		MVL.1285	
		Geophagus dicrozoster 	López-Fernández & Taphorn, 2004	raitatonkija		MVL.1285	
		Geophagus grammepareius	Kullander & Taphorn, 1992	ruskotonkija		MVL.1285	
		Geophagus harreri	Gosse, 1976	selkätäplätonkija		MVL.1285	
		Geophagus megasema 	Heckel, 1840	pälvitonkija		MVL.1285	
		Geophagus parnaibae 	Staeck & Schindler, 2006	parnaibantonkija		MVL.1285	
		Geophagus pellegrini	Regan, 1912	keltakyhmytonkija		MVL.1285	
		Geophagus proximus	(Castelnau, 1855)	laikkutonkija		MVL.1285	
		Geophagus pyrocephalus 	Chuctaya, Nitschke, Andrade, Wingert & Malabarba, 2022	punaotsatonkija		MVL.1285	
		Geophagus pyrineusi 	Deprá, Ohara & Silva, 2022	täpläjuovatonkija		MVL.1285	
		Geophagus steindachneri	Eigenmann & Hildebrand, 1922	kyhmytonkija		MVL.1285	
		Geophagus surinamensis	(Bloch, 1791)	punaevätonkija		MVL.1285	
		Geophagus sveni 	Lucinda, de Lucena & Assis, 2010	loistotonkija		MVL.1285	
		Geophagus taeniopareius	Kullander & Royero, 1992	kultatonkija		MVL.1285	
		Geophagus winemilleri 	López-Fernández & Taphorn, 2004	kardinaalitonkija		MVL.1285	
	suku	Guianacara	Kullander & Nijssen, 1989				
		Guianacara dacrya 	Arbour & López-Fernández, 2011	laikkuklovnitonkija		MVL.1285	
		Guianacara geayi	(Pellegrin, 1902)	klovnitonkija		MVL.1285	
		Guianacara oelemariensis	Kullander & Nijssen, 1989	ruutuklovnitonkija		MVL.1285	
		Guianacara owroewefi	Kullander & Nijssen, 1989	punaklovnitonkija		MVL.1285	
		Guianacara sphenozona	Kullander & Nijssen, 1989	suistoklovnitonkija		MVL.1285	
	suku	Gymnogeophagus	Miranda Ribeiro, 1918				
		Gymnogeophagus australis	(Eigenmann, 1907)	kirjotonkija		MVL.1285	
		Gymnogeophagus balzanii	(Perugia, 1891)	seepratonkija		MVL.1285	
		Gymnogeophagus caaguazuensis 	Staeck, 2006	rivitäplätonkija		MVL.1285	
		Gymnogeophagus gymnogenys	(Hensel, 1870)	tummatonkija		MVL.1285	
		Gymnogeophagus labiatus	(Hensel, 1870)	turpatonkija		MVL.1285	
		Gymnogeophagus lacustris	Reis & Malabarba, 1988	laguunitonkija		MVL.1285	
		Gymnogeophagus meridionalis	Reis & Malabarba, 1988	neontonkija		MVL.1285	
		Gymnogeophagus rhabdotus	(Hensel, 1870)	sinijuovatonkija		MVL.1285	
	suku	Mazarunia	Kullander, 1990				
		Mazarunia mazarunii	Kullander, 1990	matsaruni		MVL.1285	
	suku	Mikrogeophagus	Frey, 1957				
		Mikrogeophagus altispinosus	(Haseman, 1911)	rusokirjoahven		MVL.1285	
		Mikrogeophagus maculicauda 	Staeck, Ottoni & Schindler, 2022	täpläperhosahven		MVL.1285	
		Mikrogeophagus ramirezi	(Myers & Harry, 1948)	perhoskirjoahven		MVL.1285	
	suku	Satanoperca	Günther, 1862				
		Satanoperca acuticeps	(Heckel, 1840)	vihertonkija		MVL.1285	
		Satanoperca curupira	Ota et al., 2018	viirukuonotonkija		MVL.1285	
		Satanoperca daemon	Heckel, 1840	paholaistonkija		MVL.1285	
		Satanoperca jurupari	(Heckel, 1840)	pronssitonkija		MVL.1285	
		Satanoperca leucosticta	(Müller & Troschel, 1848)	timanttitonkija		MVL.1285	
		Satanoperca lilith	Kullander & Ferreira, 1988	noitatonkija		MVL.1285	
		Satanoperca mapiritensis	(Férnandes-Yépez, 1950)	helmipäätonkija		MVL.1285	
		Satanoperca pappaterra	(Heckel, 1840)	mustajuovatonkija		MVL.1285	
		Satanoperca rhynchitis 	Kullander, 2012 	punahuulitonkija		MVL.1285	
		Satanoperca setepele 	Ota, Deprá, Kullander, Graça & Pavanelli, 2022	oliiivitonkija		MVL.1285	
	suku	Taeniacara	Myers, 1935				
		Taeniacara candidi	Myers, 1935	oliivikääpiöahven		MVL.1285	
	suku	Teleocichla	Kullander, 1988	tokkoakarat			
		Teleocichla centisquama	Zuanon & Sazima, 2002	pikkutokkoakara	pikkutokkoahven	MVL.1285	
		Teleocichla centrarchus	Kullander, 1988	aurinkotokkoakara	aurinkotokkoahven	MVL.1285	
		Teleocichla cinderella	Kullander, 1988	tuhkimotokkoakara	tuhkimotokkoahven	MVL.1285	
		Teleocichla gephyrogramma	Kullander, 1988	satulatokkoakara	satulatokkoahven	MVL.1285	
		Teleocichla monogramma	Kullander, 1988	juovatokkoakara	juovatokkoahven	MVL.1285	
		Teleocichla preta	Varella, Zuanon, Kullander & López-Fernández, 2016	mustatokkoakara		MVL.1285	
		Teleocichla prionogenys	Kullander, 1988	sahatokkoakara	sahatokkoahven	MVL.1285	
		Teleocichla proselytus	Kullander, 1988	vihertokkoakara	vihertokkoahven	MVL.1285	
		Teleocichla wajapi 	Varella & Moreira, 2013	pastellitokkoakara		MVL.1285	
	tribe	Astronotini		oskarit			
	suku	Astronotus	Swainson, 1839				
		Astronotus crassipinnis	(Heckel, 1840)	paksueväoskari		MVL.1285	
		Astronotus ocellatus	(Agassiz, 1831)	riikinkukkoahven eli oskari		MVL.1285	
	tribe	Cichlasomatini					
	suku	Acaronia	Myers, 1940				
		Acaronia nassa	(Heckel, 1840)	rysäkirjoahven		MVL.1285	
		Acaronia vultuosa	Kullander, 1989	maskikirjoahven		MVL.1285	
	suku	Aequidens	Eigenmann & Bray, 1894				
		Aequidens chimantanus	Inger, 1956	suokirjoahven		MVL.1285	
		Aequidens diadema	(Heckel, 1840)	kuviokirjoahven		MVL.1285	
		Aequidens epae	Kullander, 1995	epankirjoahven		MVL.1285	
		Aequidens mauesanus	Kullander, 1997	selkätäpläkirjoahven		MVL.1285	
		Aequidens metae	Eigenmann, 1922	valjaskirjoahven		MVL.1285	
		Aequidens michaeli	Kullander, 1995	sokkelokirjoahven		MVL.1285	
		Aequidens pallidus	(Heckel, 1840)	paritäpläkirjoahven		MVL.1285	
		Aequidens patricki	Kullander, 1984	ruostepääkirjoahven		MVL.1285	
		Aequidens plagiozonatus	Kullander, 1984	vinoraitakirjoahven		MVL.1285	
		Aequidens potaroensis	Eigenmann, 1912	kuukirjoahven		MVL.1285	
		Aequidens rondoni	(Miranda Ribeiro, 1918)	täpläselkäkirjoahven		MVL.1285	
		Aequidens superomaculatum 	Hernández-Acevedo, Machado-Allison & Lasso, 2015	laikkukirjoahven		MVL.1285	
		Aequidens tetramerus	(Heckel, 1840)	satulakirjoahven		MVL.1285	
		Aequidens viridis	(Heckel, 1840)	viherselkäkirjoahven		MVL.1285	
	suku	Andinoacara	Musilová, Říĉan & Novák, 2009				
		Andinoacara  biseriatus	(Regan, 1913)	kookoskirjoahven		MVL.1285	
		Andinoacara blombergi 	Wijkmark, Kullander & Barriga, 2012	valkosaumakirjoahven		MVL.1285	
		Andinoacara coeruleopunctatus	(Kner, 1863)	sinipilkkukirjoahven		MVL.1285	
		Andinoacara latifrons	(Steindachner, 1878)	kyrmykirjoahven		MVL.1285	
		Andinoacara pulcher	(Gill, 1858)	sinikirjoahven		MVL.1285	
		Andinoacara rivulatus	(Günther, 1860)	saumakirjoahven		MVL.1285	
		Andinoacara sapayensis	(Regan, 1903)	sapankirjoahven		MVL.1285	
		Andinoacara stalsbergi 	Musilová, Schindler & Staeck, 2009	hopeasaumakirjoahven		MVL.1285	
	suku	Bujurquina	Kullander, 1986				
		Bujurquina apoparuana	Kullander, 1986	vuoksikirjoahven		MVL.1285	
		Bujurquina mariae	(Eigenmann, 1922)	mustaotsakirjoahven 	mariankirjoahven	MVL.1285	
		Bujurquina moriorum	Kullander, 1986	luomikirjoahven		MVL.1285	
		Bujurquina peregrinabunda	Kullander, 1986	tinakirjoahven		MVL.1285	
		Bujurquina robusta	Kullander, 1986	messinkikirjoahven		MVL.1285	
		Bujurquina syspilus	(Cope, 1872)	ruoste-eväkirjoahven		MVL.1285	
		Bujurquina tambopatae	Kullander, 1986	laikkukuonokirjoahven		MVL.1285	
		Bujurquina vittata	(Heckel, 1840)	kultaposkikirjoahven		MVL.1285	
	suku	Cichlasoma	Swainson, 1839				
		Cichlasoma amazonarum	Kullander, 1983	nauriskirjoahven		MVL.1285	
		Cichlasoma araguaiense	Kullander, 1983	nuottakirjoahven		MVL.1285	
		Cichlasoma bimaculatum	(Linnaeus, 1758)	täpläkirjoahven		MVL.1285	
		Cichlasoma boliviense	Kullander, 1983	kaarnakirjoahven		MVL.1285	
		Cichlasoma dimerus	(Heckel, 1840)	kaksoskirjoahven		MVL.1285	
		Cichlasoma geddesi	(Regan, 1905)	sepelkirjoahven		MVL.1285	
		Cichlasoma istlanum	(Jordan & Snyder, 1899)	komeettakirjoahven		MVL.1285	
		Cichlasoma orinocense	Kullander, 1983	orinoconkirjoahven		MVL.1285	
		Cichlasoma portalegrense	(Hensel, 1870)	verkkokirjoahven		MVL.1285	
		Cichlasoma taenia	(Bennett, 1831)	ametistikirjoahven		MVL.1285	
	suku	Cleithracara	Kullander & Nijssen, 1989				
		Cleithracara maronii	(Steindachner, 1881)	avainkirjoahven		MVL.1285	
	suku	Cribroheros 	Říčan & Piálek, 2016				
		Cribroheros alfari 	(Meek, 1907)	pastellikirjoahven		MVL.1285	
		Cribroheros altifrons	(Kner, 1863)	viisiraitakirjoahven		MVL.1285	
		Cribroheros diquis 	(Bussing, 1974)	resorikirjoahven		MVL.1285	
		Cribroheros longimanus 	(Günther, 1867)	punavatsakirjoahven		MVL.1285	
		Cribroheros rhytisma 	(López S., 1983)	katkokirjoahven		MVL.1285	
		Cribroheros robertsoni 	(Regan, 1905)	opaalikirjoahven		MVL.1285	
		Cribroheros rostratus 	(Gill, 1877)	kuonokirjoahven		MVL.1285	
	suku	Darienheros	Říčan & Novák, 2016				
		Darienheros calobrensis 	(Meek & Hildebrand, 1913)	ruostepistekirjoahven		MVL.1285	
	suku	Ivanacara	Römer & Hahn, 2007				
		Ivanacara adoketa 	(Kullander & Prada-Pedreros, 1993)	seepra-akara		MVL.1285	
		Ivanacara bimaculata 	(Eigenmann, 1912)	kaksitäpläakara		MVL.1285	
	suku	Krobia	Kullander & Nijssen, 1989				
		Krobia guianensis	(Regan, 1905)	rusodelfiiniakara 	isodelfiinikirjoahven	MVL.1285	
		Krobia itanyi	(Puyo, 1943)	delfiiniakara	delfiinikirjoahven	MVL.1285	
		Krobia xinguensis 	Kullander, 2012	tulidelfiiniakara		MVL.1285	
	suku	Kronoheros	Říčan & Piálek, 2016				
		Kronoheros (Cichlasoma) umbrifer 	(Meek & Hildebrand, 1913)	helmisuomukirjoahven		MVL.1285	
	suku	Laetacara	Kullander, 1986				
		Laetacara araguaiae 	Ottoni & Costa, 2009	kultasuomuakara		MVL.1285	
		Laetacara curviceps	(Ahl, 1923)	lippuakara		MVL.1285	
		Laetacara dorsigera	(Heckel, 1840)	ruosteakara		MVL.1285	
		Laetacara flamannellus 	Ottoni, Bragança, Amorim & Gama, 2012	liekkiakara		MVL.1285	
		Laetacara flavilabris	(Cope, 1870)	inkivääriakara		MVL.1285	
		Laetacara fulvipinnis 	Staeck & Schindler, 2007	kultaeväakara		MVL.1285	
		Laetacara thayeri	(Steindachner, 1875)	oliiviakara		MVL.1285	
	suku	Nannacara	Regan, 1905				
		Nannacara anomala	Regan, 1905	kääpiöakara		MVL.1285	
		Nannacara aureocephalus	Allgayer, 1983	kulta-akara		MVL.1285	
		Nannacara quadrispinae 	Staeck & Schindler, 2004	piikkiakara		MVL.1285	
		Nannacara taenia	Regan, 1912	juova-akara		MVL.1285	
	suku	Rondonacara	Ottoni & Mattos, 2015				
		Rondonacara hoehnei	(Miranda-Ribeiro, 1918)	raitaeväakara	raitaeväkirjoahven	MVL.1285	
