TaxonID	rank	taxon	author	vernacularFI	obsoleteFI	informalgroup	
		Grammatotria lemairii	Boulenger, 1899	pippurihiekka-ahven		MVL.1285, MVL.1286	
	suku	Lestradea	Poll, 1943				
		Lestradea perspicax 	Poll, 1943	parijuovahiekkahautoja		MVL.1285, MVL.1286	
	suku	Microdontochromis	Poll, 1986				
		Microdontochromis rotundiventralis	Takahashi  et al., 1997	neonplanktonhautoja		MVL.1285, MVL.1286	
		Microdontochromis tenuidentata	(Poll, 1951)	raitaplanktonhautoja		MVL.1285, MVL.1286	
	suku	Ophthalmotilapia	Pellegrin, 1904				
		Ophthalmotilapia boops 	(Boulenger, 1901)	ruskosulkahautoja		MVL.1285, MVL.1286	
		Ophthalmotilapia heterodonta 	(Poll & Matthes, 1962)	turkoosisulkahautoja		MVL.1285, MVL.1286	
		Ophthalmotilapia nasuta 	(Poll & Matthes, 1962)	nenäsulkahautoja		MVL.1285, MVL.1286	
		Ophthalmotilapia ventralis 	(Boulenger, 1898)	sinisulkahautoja		MVL.1285, MVL.1286	
	suku	Xenotilapia	Boulenger, 1899				
		Xenotilapia bathyphila 	Poll, 1956	teräshiekkahautoja		MVL.1285, MVL.1286	
		Xenotilapia boulengeri 	(Poll, 1942)	ruskohiekkahautoja		MVL.1285, MVL.1286	
		Xenotilapia burtoni 	Poll, 1951	täplähiekkahautoja		MVL.1285, MVL.1286	
		Xenotilapia caudafasciata 	Poll, 1951	raitaevähiekkahautoja		MVL.1285, MVL.1286	
		Xenotilapia flavipinnis 	Poll, 1985	kultahiekkahautoja		MVL.1285, MVL.1286	
		Xenotilapia longispinis 	Poll, 1951	piikkihiekkahautoja		MVL.1285, MVL.1286	
		Xenotilapia nasus 	De Vos, Risch & Thys van den Audenaerde, 1995	kuonohiekkahautoja		MVL.1285, MVL.1286	
		Xenotilapia nigrolabiata 	Poll, 1951	mustahuulihiekkahautoja		MVL.1285, MVL.1286	
		Xenotilapia ochrogenys 	(Boulenger, 1914)	hohtohiekkahautoja		MVL.1285, MVL.1286	
		Xenotilapia ornatipinnis 	Boulenger, 1901	hohtojuovahiekkahautoja		MVL.1285, MVL.1286	
		Xenotilapia papilio 	Büscher, 1990	perhoshiekkahautoja		MVL.1285, MVL.1286	
		Xenotilapia sima 	Boulenger, 1899	välkehiekkahautoja		MVL.1285, MVL.1286	
		Xenotilapia singularis	(Boulenger, 1914)	laikkuhiekkahautoja		MVL.1285, MVL.1286	
		Xenotilapia spilopterus 	Poll & Stewart, 1975	pilkkuhiekkahautoja		MVL.1285, MVL.1286	
							
	tribe	Eretmodini					
	suku	Eretmodus	Boulenger, 1898				
		Eretmodus cyanostictus 	Boulenger, 1898	seepraturpa-ahven		MVL.1285, MVL.1286	
		Eretmodus marksmithi 	Burgess, 2012	viiruturpa-ahven		MVL.1285, MVL.1286	
	suku	Spathodus	Boulenger, 1900				
		Spathodus erythrodon 	Boulenger, 1900	pilkkuturpa-ahven		MVL.1285, MVL.1286	
		Spathodus marlieri 	Poll, 1950	kyhmyturpa-ahven		MVL.1285, MVL.1286	
	suku	Tanganicodus	Poll, 1950				
		Tanganicodus irsacae	Poll, 1950	raitaturpa-ahven		MVL.1285, MVL.1286	
							
							
	tribe	Tropheini					
	suku	Interochromis	Yamaoka, Hori & Kuwamura, 1998				
		Interochromis loocki	(Poll, 1949)	ruosteotsahautoja		MVL.1285, MVL.1286	
	suku	Limnotilapia	Regan, 1920				
		Limnotilapia dardennii	(Boulenger, 1899)	keltavatsahautoja		MVL.1285, MVL.1286	
	suku	Lobochilotes	Boulenger, 1915				
		Lobochilotes labiatus	(Boulenger, 1898)	seeprahuuliahven		MVL.1285, MVL.1286	
	suku	Petrochromis	Boulenger, 1898				
		Petrochromis ephippium 	Brichard, 1989	satulakivikkohautoja		MVL.1285, MVL.1286	
		Petrochromis famula 	Matthes & Trewavas, 1960	ruskokivikkohautoja		MVL.1285, MVL.1286	
		Petrochromis fasciolatus 	Boulenger, 1914	raitakivikkohautoja		MVL.1285, MVL.1286	
		Petrochromis horii 	Takahashi & Koblmüller, 2014	keltakivikkohautoja		MVL.1285, MVL.1286	
		Petrochromis macrognathus 	Yamaoka, 1983	huulikivikkohautoja		MVL.1285, MVL.1286	
		Petrochromis orthognathus 	Matthes, 1959	ruostekivikkohautoja		MVL.1285, MVL.1286	
		Petrochromis polyodon 	Boulenger,, 1898	häijykivikkohautoja		MVL.1285, MVL.1286	
		Petrochromis trewavasae 	Poll, 1948	tähtikivikkohautoja		MVL.1285, MVL.1286	
	suku	Pseudosimochromis	Nelissen, 1977				
		Pseudosimochromis babaulti 	(Pellegrin, 1927)	raitalevähautoja		MVL.1285, MVL.1286	
		Pseudosimochromis curvifrons 	(Poll, 1942)	juhmurilevähautoja	juhmurisuomunsyöjä	MVL.1285, MVL.1286	
		Pseudosimochromis margaretae 	(Axelrod & Harrison, 1978)	saumalevähautoja		MVL.1285, MVL.1286	
		Pseudosimochromis marginatus	(Poll, 1956)	harmaalevähautoja		MVL.1285, MVL.1286	
	suku	Simochromis	Boulenger, 1898				
		Simochromis diagramma 	(Günther, 1894)	kalterilevähautoja		MVL.1285, MVL.1286	
	suku	Tropheus	Boulenger, 1898				
		Tropheus annectens 	Boulenger, 1900	viirikeisari		MVL.1285, MVL.1286	
		Tropheus brichardi 	Nelissen & Thys van den Audenaerde, 1975	seeprakeisari		MVL.1285, MVL.1286	
		Tropheus duboisi 	Marlier, 1959	vyökeisari		MVL.1285, MVL.1286	
		Tropheus moorii	Boulenger, 1898	keisarikirjoahven		MVL.1285, MVL.1286	
							
	tribe	Lamprologini					
	suku	Altolamprologus	Poll, 1986				
		Altolamprologus calvus 	(Poll, 1978)	helmikuonoahven		MVL.1285, MVL.1286	
		Altolamprologus compressiceps 	(Boulenger, 1898)	kuonoahven		MVL.1285, MVL.1286	
		Altolamprologus fasciatus 	Boulenger, 1898	raitakuonoahven		MVL.1285, MVL.1286	
	suku	Chalinochromis	Poll, 1974				
		Chalinochromis brichardi 	Poll, 1974	ohjasahven		MVL.1285, MVL.1286	
		Chalinochromis cyanophleps 	Kullander, Karlsson, Karlsson & Norén, 2014	siniohjasahven		MVL.1285, MVL.1286	
		Chalinochromis popelini 	Brichard, 1989	juovaohjasahven		MVL.1285, MVL.1286	
	suku	Julidochromis	Boulenger, 1898				
		Julidochromis dickfeldi 	Staeck, 1975	sinikoruahven		MVL.1285, MVL.1286	
		Julidochromis marksmithi 	Burgess, 2014	linjakoruahven		MVL.1285, MVL.1286	
		Julidochromis marlieri 	Poll, 1956	ruutukoruahven		MVL.1285, MVL.1286	
		Julidochromis ornatus 	Boulenger, 1898	kultakoruahven		MVL.1285, MVL.1286	
		Julidochromis regani 	Poll, 1942	juovakoruahven		MVL.1285, MVL.1286	
		Julidochromis transcriptus 	Matthes, 1959	täpläkoruahven		MVL.1285, MVL.1286	
	suku	Lamprologus	Schilthuis, 1891				
		Lamprologus callipterus 	Boulenger, 1906 	haaremikotiloahven		MVL.1285, MVL.1286	
		Lamprologus kungweensis 	Poll, 1956	täpläkotiloahven		MVL.1285, MVL.1286	
		Lamprologus lemairii 	Boulenger, 1899	petokotiloahven		MVL.1285, MVL.1286	
		Lamprologus ocellatus 	(Steindachner, 1909)	keltakotiloahven		MVL.1285, MVL.1286	
		Lamprologus ornatipinnis 	Poll, 1949	korukotiloahven		MVL.1285, MVL.1286	
		Lamprologus signatus 	Poll, 1952	kultavatsakotiloahven		MVL.1285, MVL.1286	
		Lamprologus speciosus 	Büscher, 1991	raitakotiloahven		MVL.1285, MVL.1286	
		Lamprologus stappersi 	Pellegrin, 1927	helmiäiskotiloahven		MVL.1285, MVL.1286	
		Lamprologus congoensis 	Schilthuis, 1891	keltakoskiahven		MVL.1285	
		Lamprologus lethops 	Roberts & Stewart, 1976	sokkokoskiahven		MVL.1285	
		Lamprologus markerti 	Tougas & Stiassny, 2014	kyhmykoskiahven		MVL.1285	
		Lamprologus mocquardi 	Pellegrin, 1903	ruskokoskiahven		MVL.1285	
		Lamprologus symoensi 	Poll, 1976	yläkoskiahven		MVL.1285	
		Lamprologus teugelsi 	Schelly & Stiassny, 2004	tummakoskiahven		MVL.1285	
		Lamprologus tigripictilis 	Schelly & Stiassny, 2004	tiikerikoskiahven		MVL.1285	
		Lamprologus tumbanus	Boulenger, 1899	harmaakoskiahven		MVL.1285	
		Lamprologus werneri 	Poll, 1959	sinikoskiahven		MVL.1285	
	suku	Lepidiolamprologus	Pellegrin, 1904				
		Lepidiolamprologus attenuatus 	(Steindachner, 1909)	laikkuluola-ahven		MVL.1285, MVL.1286	
		Lepidiolamprologus boulengeri	(Steindachner, 1909)	kiilakotiloahven		MVL.1285, MVL.1286	
		Lepidiolamprologus cunningtoni 	(Boulenger, 1906)	tähtiluola-ahven		MVL.1285, MVL.1286	
		Lepidiolamprologus elongatus	(Boulenger, 1898)	hoikkaluola-ahven		MVL.1285, MVL.1286	
		Lepidolamprologus hecqui	(Boulenger, 1898)	laikkukotiloahven		MVL.1285, MVL.1286	
		Lepidiolamprologus kamambae 	Kullander, Karlsson & Karlsson, 2012	ruutuluola-ahven		MVL.1285, MVL.1286	
		Lepidiolamprologus kendalli 	(Poll & Stewart, 1977)	valkotäpläluola-ahven		MVL.1285, MVL.1286	
		Lepidolamprologus meeli	(Poll, 1948)	ruutukotiloahven		MVL.1285, MVL.1286	
		Lepidiolamprologus mimicus 	Schelly, Takahashi, Bills & Hori, 2007	täpläluola-ahven		MVL.1285, MVL.1286	
		Lepidiolamprologus nkambae	(Staeck, 1978	sahaluola-ahven		MVL.1285, MVL.1286	
		Lepidiolamprologus pleuromaculatus	(Trewavas & Polli, 1952)	isokotiloahven		MVL.1285, MVL.1286	
		Lepidiolamprologus profundicola	(Poll, 1949)	ruskoluola-ahven		MVL.1285, MVL.1286	
		Lepidiolamprologus variostigma 	(Büscher, 1995)	kirjoluola-ahven		MVL.1285, MVL.1286	
	suku	Neolamprologus	Colombé & Allgayer, 1985				
		Neolamprologus bifasciatus 	Büscher, 1993	kaksijuovaluola-ahven		MVL.1285, MVL.1286	
		Neolamprologus brevis 	Boulenger, 1899	lyhytkotiloahven		MVL.1285, MVL.1286	
		Neolamprologus brichardi 	Poll, 1974	viirikirjoahven		MVL.1285, MVL.1286	
		Neolamprologus buescheri 	Staeck, 1983	laikkuviiriahven		MVL.1285, MVL.1286	
		Neolamprologus cancellatus 	Aibara, Takahashi & Nakaya, 2005	ritiläkotiloahven		MVL.1285, MVL.1286	
		Neolamprologus caudopunctatus 	Poll, 1978	keltaeväkotiloahven		MVL.1285, MVL.1286	
		Neolamprologus chitamwebwai 	Verburg & Bills, 2007	verkkoviiriahven		MVL.1285, MVL.1286	
		Neolamprologus laparogramma 	Bills & Ribbink, 1997	raitavatsakotiloahven		MVL.1285, MVL.1286	
		Neolamprologus christyi 	Trewavas & Poll, 1952	tummaviiriahven		MVL.1285, MVL.1286	
		Neolamprologus crassus 	Brichard, 1989	saumaviiriahven		MVL.1285, MVL.1286	
		Neolamprologus cylindricus 	Staeck & Seegers, 1986	seepraluola-ahven		MVL.1285, MVL.1286	
		Neolamprologus falcicula 	Brichard, 1989	ruskoviiriahven		MVL.1285, MVL.1286	
	                      	Neolamprologus furcifer 	Boulenger, 1898	lyyraluola-ahven		MVL.1285, MVL.1286	
		Neolamprologus gracilis 	Brichard, 1989	siroviiriahven		MVL.1285, MVL.1286	
		Neolamprologus helianthus 	Büscher, 1997	aurinkoviiriahven		MVL.1285, MVL.1286	
		Neolamprologus leleupi 	Poll, 1956	aurinkokirjoahven		MVL.1285, MVL.1286	
		Neolamprologus leloupi 	Poll, 1948	timanttiluola-ahven		MVL.1285, MVL.1286	
		Neolamprologus longicaudatus 	Nakaya & Gashagaza, 1995	kyhmyluola-ahven		MVL.1285, MVL.1286	
		Neolamprologus longior 	Staeck, 1980	helokirjoahven		MVL.1285, MVL.1286	
		Neolamprologus marunguensis 	Büscher, 1989	sinisilmäviiriahven		MVL.1285, MVL.1286	
		Neolamprologus modestus 	Boulenger, 1898	seepialuola-ahven		MVL.1285, MVL.1286	
		Neolamprologus mondabu 	Boulenger, 1906	vihereväluola-ahven		MVL.1285, MVL.1286	
		Neolamprologus multifasciatus 	Boulenger, 1906	seeprakotiloahven		MVL.1285, MVL.1286	
		Neolamprologus mustax 	Poll, 1978	mustaluola-ahven		MVL.1285, MVL.1286	
		Neolamprologus niger 	Poll, 1956	mahonkiluola-ahven		MVL.1285, MVL.1286	
		Neolamprologus nigriventris 	Büscher, 1992	mustavatsaviiriahven		MVL.1285, MVL.1286	
		Neolamprologus obscurus 	Poll, 1978	raitaluola-ahven		MVL.1285, MVL.1286	
		Neolamprologus olivaceous 	Brichard, 1989	oliiviviiriahven		MVL.1285, MVL.1286	
		Neolamprologus pectoralis 	Büscher, 1991	melaluola-ahven		MVL.1285, MVL.1286	
		Neolamprologus petricola 	Poll, 1949	kivikkoluola-ahven		MVL.1285, MVL.1286	
		Neolamprologus prochilus 	Bailey & Stewart, 1977	leukaluola-ahven		MVL.1285, MVL.1286	
		Neolamprologus pulcher 	Trewavas & Poll, 1952	kaunoviiriahven		MVL.1285, MVL.1286	
		Neolamprologus savoryi 	Poll, 1949	raitaviiriahven		MVL.1285, MVL.1286	
		Neolamprologus schreyeni 	Poll, 1974	sysiluola-ahven		MVL.1285, MVL.1286	
		Neolamprologus sexfasciatus 	Trewavas & Poll, 1952	kalteriluola-ahven		MVL.1285, MVL.1286	
		Neolamprologus similis 	Büscher, 1992	valekotiloahven		MVL.1285, MVL.1286	
		Neolamprologus splendens 	Brichard, 1989	loistoviiriahven		MVL.1285, MVL.1286	
		Neolamprologus tetracanthus 	Boulenger, 1899	piikkiluola-ahven		MVL.1285, MVL.1286	
		Neolamprologus timidus 	Kullander, Norén, Karlsson & Karlsson, 2014	ujoluola-ahven		MVL.1285, MVL.1286	
		Neolamprologus toae 	(Poll, 1949)	pöllöluola-ahven		MVL.1285, MVL.1286	
		Neolamprologus tretocephalus 	Boulenger, 1899	siniseepra-ahven		MVL.1285, MVL.1286	
		Neolamprologus variostigma 	Büscher, 1995	hohtoluola-ahven		MVL.1285, MVL.1286	
		Neolamprologus ventralis 	Büscher, 1995	rihmaluola-ahven		MVL.1285, MVL.1286	
		Neolamprologus walteri 	Verburg & Bills, 2007	kuvioviiriahven		MVL.1285, MVL.1286	
		Neolamprologus wauthioni 	Poll, 1949	helmiluola-ahven		MVL.1285, MVL.1286	
	suku	Telmatochromis	Boulenger, 1898				
		Telmatochromis bifrenatus 	Myers, 1936	parijuovavaljasahven		MVL.1285, MVL.1286	
		Telmatochromis brachygnathus 	Hanssens & Snoeks, 2003	tylppävaljasahven		MVL.1285, MVL.1286	
		Telmatochromis brichardi 	Louisy, 1989	sahavaljasahven		MVL.1285, MVL.1286	
		Telmatochromis dhonti 	(Boulenger, 1919)	mokkavaljasahven		MVL.1285, MVL.1286	
		Telmatochromis temporalis 	Boulenger, 1898	kanelivaljasahven		MVL.1285, MVL.1286	
		Telmatochromis vittatus 	Boulenger, 1898	linjavaljasahven		MVL.1285, MVL.1286	
	suku	Variabilichromis	Colombé & Allgayer, 1985				
		Variabilichromis moorii	(Boulenger, 1898)	tummaluola-ahven		MVL.1285, MVL.1286	
							
	tribe	Limnochromini					
	suku	Baileychromis	Poll, 1986				
		Baileychromis centropomoides	Bailey & Stewart, 1977)	piikkikidusahven		MVL.1285, MVL.1286	
	suku	Gnathochromis	Poll, 1981				
		Gnathochromis permaxillaris	 (David, 1936)	lerppuhuulihautoja		MVL.1285, MVL.1286	
		Gnathochromis pfefferi 	(Boulenger, 1898)	katkasuuhautoja		MVL.1285, MVL.1286	
	suku	Greenwoodochromis	Poll, 1983				
		Greenwoodochromis bellcrossi 	(Poll, 1976)	raitasyvännehautoja		MVL.1285, MVL.1286	
		Greenwoodochromis christyi	(Trewavas, 1953)	välkesyvännehautoja		MVL.1285, MVL.1286	
	suku	Limnochromis	Regan, 1920				
		Limnochromis abeelei 	Poll, 1949	isomutahautoja		MVL.1285, MVL.1286	
		Limnochromis auritus 	Boulenger, 1901	kultamutahautoja		MVL.1285, MVL.1286	
		Limnochromis staneri 	Poll, 1949	turpamutahautoja		MVL.1285, MVL.1286	
	suku	Reganochromis	Whitley, 1929				
		Reganochromis calliurus	Boulenger, 1901	hohtomutahautoja		MVL.1285, MVL.1286	
	suku	Tangachromis	Poll, 1981				
		Tangachromis dhanisi	(Poll, 1949)	planktonhautoja		MVL.1285, MVL.1286	
	suku	Triglachromis	Poll & Thys van den Audenaerde, 1974				
		Triglachromis otostigma	(Regan, 1920)	ruskomutahautoja		MVL.1285, MVL.1286	
							
							
	tribe	Perissodini					
	suku	Haplotaxodon	Boulenger, 1906				
		Haplotaxodon microlepis 	Boulenger, 1906	petosuuhautoja		MVL.1285, MVL.1286	
		Haplotaxodon trifasciatus 	Takahashi & Nakaya, 1999	laikkupetohautoja		MVL.1285, MVL.1286	
	suku	Perissodus	Boulenger, 1898				
		Perissodus eccentricus 	Liem & Stewart, 1976	sinisuomunsyöjä		MVL.1285, MVL.1286	
		Perissodus microlepis 	Boulenger, 1898	rusosuomunsyöjä		MVL.1285, MVL.1286	
	suku	Plecodus	Boulenger, 1898				
		Plecodus elaviae 	Poll, 1949	isosuomunsyöjä		MVL.1285, MVL.1286	
		Plecodus multidentatus 	Poll, 1952	naskalisuomunsyöjä		MVL.1285, MVL.1286	
		Plecodus paradoxus 	Boulenger, 1898	juovasuomunsyöjä		MVL.1285, MVL.1286	
		Plecodus straeleni 	Poll, 1948	raitasuomunsyöjä		MVL.1285, MVL.1286	
							
	tribe	Trematocarini		karat			
	suku	Trematocara	Boulenger, 1899				
		Trematocara caparti 	Poll, 1948	planktonkara		MVL.1285, MVL.1286	
		Trematocara kufferathi 	Poll, 1948	ulappakara		MVL.1285, MVL.1286	
		Trematocara macrostoma 	Poll, 1952	kitakara		MVL.1285, MVL.1286	
		Trematocara marginatum 	Boulenger, 1899	kiilakara		MVL.1285, MVL.1286	
		Trematocara nigrifrons 	Boulenger, 1906	syvännekara		MVL.1285, MVL.1286	
		Trematocara stigmaticum 	Poll, 1943	juovakara		MVL.1285, MVL.1286	
		Trematocara unimaculatum 	Boulenger, 1901	täpläkara		MVL.1285, MVL.1286	
		Trematocara variabile 	Poll 1952,	mustasaumakara		MVL.1285, MVL.1286	
		Trematocara zebra 	De Vos, Nshombo & Thys van den Audenaerde, 1996	seeprakara		MVL.1285, MVL.1286	
							
							
MX.5086708	alaheimo	Etroplinae	Kullander, 1998	intiankirjoahvenet		MVL.1284	
	suku	Etroplus	Cuvier, 1830				
		Etroplus canarensis 	Day, 1877	viirukirjoahven		MVL.1285	
		Etroplus suratensis 	(Bloch, 1790)	intiankirjoahven		MVL.1285	
	suku	Pseudetroplus	Bleeker in Günther, 1862				
		Pseudetroplus maculatus 	(Bloch, 1795)	keltakirjoahven		MVL.1285	
	suku	Paretroplus	Bleeker, 1868				
		Paretroplus kieneri 	Arnoult, 1960	nokisaariahven		MVL.1285	
		Paretroplus maculatus 	Kiener & Maugé, 1966	vihersaariahven		MVL.1285	
		Paretroplus menarambo 	Allgayer, 1996	purppurasaariahven		MVL.1285	
		Paretroplus nourissati 	(Allgayer, 1998)	kalterisaariahven		MVL.1285	
		Paretroplus polyactis 	Bleeker, 1878	punasaariahven		MVL.1285	
							
MX.5086709	alaheimo	Ptychochrominae	Sparks, 2004	madagaskarinkirjoahvenet		MVL.1284	
	suku	Katria	Stiassny & Sparks, 2006				
		Katria katria	(Reinthal & Stiassny, 1997)	katria		MVL.1285	
	suku	Paratilapia	Bleeker, 1868				
		Paratilapia polleni 	Bleeker, 1868	tähtitilapia		MVL.1285	
	suku	Ptychochromis	Steindachner, 1880				
		Ptychochromis oligacanthus 	Bleeker, 1868	ruskosaariahven		MVL.1285	
