TaxonID	TaxonRank	ScientificName	Author	SpeciesID	SpeciesScientificName	SpeciesAuthor	VernacularFI	AlternativeFI	VernacularEN
MX.5086356	heimo	Rhinopteridae							
		Rhinoptera	Cuvier, 1829		Rhinoptera marginata 	(Geoffroy Saint–Hilaire, 1817)	pronssilehmärausku		Lusitanian cownose ray
MX.5086357	heimo	Mobulidae							
		Mobula	Rafinesque, 1810		Mobula birostris 	(Walbaum, 1792)	paholaisrausku		
		Mobula			Mobula mobular 	(Bonnaterre, 1788) 	kauluspaholaisrausku	sarvirausku	"devil fish; devil ray"
		Mobula			Mobula hypostoma 	(Bancroft, 1831)	tummapaholaisrausku		
		Mobula			Mobula diabolus 	(Shaw, 1804)	sysipaholaisrausku		
MX.5086359	heimo 	Chimaeridae							
		Chimaera	Linnaeus, 1758		Chimaera monstrosa 	Linnaeus, 1758 	sillikuningas		
		Hydrolagus	Gill, 1862		Hydrolagus affinis 	(de Brito Capello, 1868)	ruskosillikuningas		
		Hydrolagus			Hydrolagus lusitanicus 	Moura & al., 2005	portugalinsillikuningas		
		Hydrolagus			Hydrolagus mirabilis 	(Collett, 1904)	isosilmäsillikuningas		large-eyed rabbitfish
		Hydrolagus			Hydrolagus pallidus 	Hardy & Stehmann, 1990	haamusillikuningas		
MX.5086360	heimo 	Rhinochimaeridae							
		Harriotta	Goode & Bean, 1895		Harriotta raleighana 	Goode & Bean, 1895	nokkakuningas		
		Rhinochimaera	Garman, 1901		Rhinochimaera atlantica 	Holt & Byrne, 1909	atlantinnokkakuningas		
MX.53324	heimo 	Acipenseridae							
MX.53094		Acipenser	Linnaeus, 1758	MX.53096	Acipenser baerii	Brandt, 1869	siperiansampi		
MX.53094		Acipenser			Acipenser colchicus 	Marty, 1940	kaukasiansampi		
MX.53094		Acipenser		MX.53097	Acipenser gueldenstaedtii 	Brandt & Ratzeburg, 1833	venäjänsampi		
MX.53094		Acipenser		MX.206817	Acipenser naccarii 	Bonaparte, 1836	välimerensampi		
MX.53094		Acipenser			Acipenser nudiventris 	Lovetsky, 1828	ehythuulisampi	harmaasampi	
MX.53094		Acipenser		MX.206815	Acipenser oxyrinchus 	Mitchill, 1815	sinisampi		
MX.53094		Acipenser			Acipenser persicus 	Borodin, 1897	persiansampi		
MX.53094		Acipenser		MX.53095	Acipenser ruthenus 	Linnaeus, 1758	sterletti		
MX.53094		Acipenser		MX.206816	Acipenser stellatus 	Pallas, 1771	tähtisampi		
MX.53094		Acipenser		MX.53293	Acipenser sturio 	Linnaeus, 1758	sampi		
MX.206818		Huso	Brandt & Ratzeburg, 1833	MX.206819	Huso huso 	(Linnaeus, 1758)	kitasampi		
MX.5086369	heimo 	Megalopidae							
		Megalops	Lacepède, 1803		Megalops atlanticus 	Valenciennes, 1847	tarponi		
MX.5086373	heimo 	Halosauridae							
		Aldrovandia	Goode & Bean, 1896		Aldrovandia phalacra 	(Vaillant, 1888)	harmaaliskoankerias		
		Halosauropsis			Halosauropsis macrochir 	(Günther, 1878)	siipiliskoankerias		
		Halosaurus	Johnson, 1864		Halosaurus johnsonianus 	Vaillant, 1888	rusoliskoankerias		
		Halosaurus			Halosaurus ovenii 	Johnson, 1864	pinkkiliskoankerias		
MX.5086374	heimo 	Notacanthidae							
		Notacanthus	Bloch, 1788		Notacanthus bonaparte 	Risso, 1840	tummapiikkiankerias		
		Notacanthus			Notacanthus chemnitzii 	Bloch, 1788	piikkiankerias		
		Polyacanthonotus	Bleeker, 1874		Polyacanthonotus africanus 	(Gilchrist & von Bonde, 1924)	atlantinpiikkiankerias		
		Polyacanthonotus			Polyacanthonotus challengeri 	(Vaillant, 1888)	nokkapiikkiankerias		
		Polyacanthonotus			Polyacanthonotus rissoanus 	(De Filippi & Verany, 1857)	suppusuupiikkiankerias		small-mouth spiny eel
MX.5086376	heimo 	Synaphobranchidae							
