TaxonID	TaxonRank	ScientificName	Author	ParentTaxonID	ParentScientificName	VernacularFI	AlternativeFI	ColloquialVernacularNameFI		#NOTES
	suku	Pilgerodendron	Florin	MX.37824	Cupressaceae	ristisypressit				
		Pilgerodendron uviferum	(D.Don) Florin		Pilgerodendron	ristisypressi				
		Pinus ×rhaetica	Brügger	MX.37818	Pinus	rinnemänty				
		Pinus arizonica	Engelm.	MX.37818	Pinus	arizonanmänty				
		Pinus attenuata	Lemmon	MX.37818	Pinus	kyhmykäpymänty				
		Pinus brutia	Ten.	MX.37818	Pinus	turkinmänty				
		Pinus bungeana	Zucc. ex Endl.	MX.37818	Pinus	kiinanpähkinämänty				
		Pinus canariensis	C.Sm. ex DC.	MX.37818	Pinus	kanarianmänty				
	variety	Pinus contorta var. murrayana	(Balf.) S.Watson	MX.37821	Pinus contorta	kaliforniankontortamänty	murraynmänty			
		Pinus coulteri	D.Don.	MX.37818	Pinus	jättikäpymänty	isokäpymänty			
		Pinus halepensis	Mill.	MX.37818	Pinus	alepponmänty				
		Pinus longaeva	D.K.Bailey	MX.37818	Pinus	okakäpymänty				
		Pinus massoniana	Lamb.	MX.37818	Pinus	kiinanpunamänty 				
		Pinus monophylla	Torr. & Frém.	MX.37818	Pinus	bajanmänty				
		Pinus muricata	D.Don	MX.37818	Pinus	piispanmänty				
		Pinus sabiniana	Douglas	MX.37818	Pinus	sabinenmänty				
		Pinus tabuliformis	Carrière	MX.37818	Pinus	kiinanmustamänty				
		Pinus taeda	L.	MX.37818	Pinus	loblollymänty				
		Pinus thunbergii	Parl.	MX.37818	Pinus	japaninmustamänty				
		Pinus torreyana	Parry ex Carrière	MX.37818	Pinus	kalifornianmänty	torreinmänty			
		Podocarpus acutifolius	Kirk	MX.4985903	Podocarpus	neulapodokarpus				
		Podocarpus gnidioides	Carrière	MX.4985903	Podocarpus	pensaspodokarpus				
		Podocarpus lawrencii	Hook.f.	MX.4985903	Podocarpus	tasmanianpodokarpus				
		Podocarpus macrophyllus	(Thunb.) Sweet	MX.4985903	Podocarpus	japaninpodokarpus				
		Podocarpus neriifolius	D.Don	MX.4985903	Podocarpus	malesianpodokarpus				
		Podocarpus nubigenus	Lindl.	MX.4985903	Podocarpus	pilvipodokarpus				
		Podocarpus salignus	D.Don	MX.4985903	Podocarpus	pajupodokarpus				
		Podocarpus totara	G.Benn. ex D.Don	MX.4985903	Podocarpus	maorinpodokarpus				
	suku	Prumnopitys	Phil.	MX.4985902	Podocarpaceae	podomit				
		Prumnopitys andina	(Poepp. ex Endl.) de Laub.		Prumnopitys	chilenpodomi				
		Prumnopitys taxifolia	(Sol. ex D.Don) de Laub.		Prumnopitys	maorinpodomi				
	suku	Pseudolarix	Gordon & Glend.	MX.37803	Pinaceae	kultalehtikuuset				
		Pseudolarix amabilis	(J. Nelson) Rehder		Pseudolarix	kultalehtikuusi				
	suku	Retrophyllum	C.N.Page	MX.4985902	Podocarpaceae	kieruhavut				
		Retrophyllum minus	(Carrière) C.N.Page		Retrophyllum	tulvakieruhavu				
	suku	Saxegothaea	Lindl.	MX.4985902	Podocarpaceae	prinssinkuuset				
		Saxegothaea conspicua	Lindl.		Saxegothaea	prinssinkuusi				
	suku	Sequoia	Endl.	MX.37824	Cupressaceae	lännenpunapuut	punapuut			
		Sequoia sempervirens	(D.Don) Endl.		Sequoia	lännenpunapuu	punapuu			
	suku	Taiwania	Hayata	MX.37824	Cupressaceae	sirppisypressit				
		Taiwania cryptomerioides	Hayata		Taiwania	sirppisypressi				
	variety	Taxodium distichum var. imbricarium	(Nutt.) Croom	MX.5024843	Taxodium distichum	nuorasuosypressi	suosypressi			
	suku	Torreya	Arn.	MX.37829	Taxaceae	torreiat				
		Torreya californica	Torr.		Torreya	kaliforniantorreia				
		Torreya grandis	Fortune ex Lindl.		Torreya	pähkinätorreia	kiinantorreia			
		Torreya nucifera	(L.) Siebold & Zucc.		Torreya	japanintorreia				
	suku	Xanthocyparis	Farjon & T.H.Nguyên	MX.37824	Cupressaceae	keltasypressit				
		Xanthocyparis vietnamensis	Farjon & T.H.Nguyên		Xanthocyparis	vietnaminkeltasypressi				
		Cycas clivicola	K.D.Hill	MX.5023289	Cycas	klinttikruunukävykki				
		Cycas seemannii	A.Braun	MX.5023289	Cycas	vanuatunkruunukävykki				
		Encephalartos villosus	Lem.	MX.5008976	Encephalartos	villakarrookävykki				
		Encephalartos horridus	(Jacq.) Lehm.	MX.5008976	Encephalartos	sinikarrookävykki				
		Encephalartos kisambo	Faden & Beentje	MX.5008976	Encephalartos	taitankarrookävykki				
	suku	Macrozamia	Miq.	MX.4986631	Zamiaceae	australiankävykit				
		Macrozamia macdonnellii	(F.Muell. ex Miq.) A.DC.		Macrozamia	siniaustraliankävykki				
		Zamia pseudoparasitica	J.Yates	MX.5023654	Zamia	panamansamiakävykki				
		Acalypha wilkesiana	Müll.Arg.	MX.38702	Euphorbiaceae	kirjokissanhäntä				
	suku	Aechmea	Ruiz & Pav.	MX.4985863	Bromeliaceae	huiskuananakset				
		Aechmea castelnavii	Baker		Aechmea	bolivianhuisku				
